scenario,dataset,total_distance_sum,total_time_ms_sum
scenario3,dataset_001,4274.15,5.76
scenario3,dataset_002,4653.98,5.43
scenario3,dataset_003,6213.13,5.83
scenario3,dataset_004,4755.95,5.44
scenario3,dataset_005,5016.52,4.84
scenario3,dataset_006,5367.07,5.67
scenario3,dataset_007,4517.32,4.29
scenario3,dataset_008,4686.02,4.55
scenario3,dataset_009,5051.33,4.67
scenario3,dataset_010,5122.27,4.49
scenario3,dataset_011,6014.14,5.22
scenario3,dataset_012,4573.54,4.28
scenario3,dataset_013,5652.37,5.17
scenario3,dataset_014,4706.86,4.70
scenario3,dataset_015,5450.51,6.25
scenario3,dataset_016,5826.26,5.91
scenario3,dataset_017,5510.44,5.34
scenario3,dataset_018,5080.53,4.82
scenario3,dataset_019,5864.20,5.11
scenario3,dataset_020,4555.82,4.78
scenario3,dataset_021,5486.21,4.98
scenario3,dataset_022,5017.43,4.91
scenario3,dataset_023,4854.46,4.57
scenario3,dataset_024,5060.61,4.74
scenario3,dataset_025,4661.93,4.51
scenario3,dataset_026,5337.80,5.17
scenario3,dataset_027,5704.05,5.14
scenario3,dataset_028,4442.06,4.89
scenario3,dataset_029,5851.47,5.73
scenario3,dataset_030,4763.46,5.38
scenario3,dataset_031,5065.35,5.64
scenario3,dataset_032,5112.00,4.54
scenario3,dataset_033,4987.87,4.91
scenario3,dataset_034,4733.83,4.28
scenario3,dataset_035,5213.55,4.59
scenario3,dataset_036,4499.88,3.93
scenario3,dataset_037,5988.86,4.87
scenario3,dataset_038,5963.29,4.94
scenario3,dataset_039,5012.12,4.30
scenario3,dataset_040,4978.05,4.23
scenario3,dataset_041,6026.30,5.09
scenario3,dataset_042,4834.89,5.10
scenario3,dataset_043,5270.24,5.05
scenario3,dataset_044,5437.56,4.99
scenario3,dataset_045,4979.77,5.00
scenario3,dataset_046,4669.43,4.20
scenario3,dataset_047,4852.01,4.28
scenario3,dataset_048,5392.11,4.56
scenario3,dataset_049,4336.58,4.08
scenario3,dataset_050,4933.49,4.74
scenario3,dataset_051,4847.55,4.40
scenario3,dataset_052,4741.96,4.19
scenario3,dataset_053,5897.61,5.76
scenario3,dataset_054,5020.23,4.28
scenario3,dataset_055,6403.62,5.47
scenario3,dataset_056,5115.44,4.56
scenario3,dataset_057,5953.77,5.62
scenario3,dataset_058,6356.35,6.20
scenario3,dataset_059,6351.82,5.42
scenario3,dataset_060,6206.88,5.94
scenario3,dataset_061,4885.41,4.23
scenario3,dataset_062,5135.16,5.58
scenario3,dataset_063,4669.63,4.45
scenario3,dataset_064,4327.24,3.92
scenario3,dataset_065,4817.26,4.92
scenario3,dataset_066,5212.32,4.95
scenario3,dataset_067,4523.10,13.38
scenario3,dataset_068,4540.96,8.67
scenario3,dataset_069,5251.92,11.55
scenario3,dataset_070,5070.68,10.59
scenario3,dataset_071,4628.50,9.30
scenario3,dataset_072,5345.17,9.48
scenario3,dataset_073,6111.17,11.09
scenario3,dataset_074,5245.00,7.98
scenario3,dataset_075,4617.76,6.57
scenario3,dataset_076,5927.13,7.58
scenario3,dataset_077,4811.19,5.85
scenario3,dataset_078,5325.53,6.06
scenario3,dataset_079,5624.93,6.69
scenario3,dataset_080,4556.11,6.25
scenario3,dataset_081,4595.11,5.97
scenario3,dataset_082,4973.99,6.59
scenario3,dataset_083,5615.16,7.70
scenario3,dataset_084,4767.77,5.84
scenario3,dataset_085,5227.66,6.74
scenario3,dataset_086,4975.67,5.37
scenario3,dataset_087,5940.28,6.53
scenario3,dataset_088,4932.29,4.90
scenario3,dataset_089,4770.52,4.87
scenario3,dataset_090,5568.41,4.97
scenario3,dataset_091,5121.53,4.49
scenario3,dataset_092,4899.59,4.26
scenario3,dataset_093,5147.94,4.59
scenario3,dataset_094,5475.24,5.22
scenario3,dataset_095,4936.50,4.96
scenario3,dataset_096,5676.99,5.05
scenario3,dataset_097,5391.68,5.12
scenario3,dataset_098,5186.01,4.85
scenario3,dataset_099,6502.87,5.47
scenario3,dataset_100,5085.39,5.68
