scenario,dataset,total_distance_sum,total_time_ms_sum
scenario3,dataset_001,6476.58,1.62
scenario3,dataset_002,7095.64,1.77
scenario3,dataset_003,9858.14,1.81
scenario3,dataset_004,7136.34,2.03
scenario3,dataset_005,7826.15,1.75
scenario3,dataset_006,8346.55,1.90
scenario3,dataset_007,6811.40,1.88
scenario3,dataset_008,7134.29,1.87
scenario3,dataset_009,8043.76,2.04
scenario3,dataset_010,8133.04,2.35
scenario3,dataset_011,9660.10,2.16
scenario3,dataset_012,6975.26,2.36
scenario3,dataset_013,8758.63,2.42
scenario3,dataset_014,7205.12,3.28
scenario3,dataset_015,8639.40,3.49
scenario3,dataset_016,9083.73,2.07
scenario3,dataset_017,8723.49,2.00
scenario3,dataset_018,7974.08,2.93
scenario3,dataset_019,9048.13,3.60
scenario3,dataset_020,7055.96,3.35
scenario3,dataset_021,8615.09,2.83
scenario3,dataset_022,7777.53,3.29
scenario3,dataset_023,7627.28,3.38
scenario3,dataset_024,7982.01,3.01
scenario3,dataset_025,7195.01,3.41
scenario3,dataset_026,8286.67,3.12
scenario3,dataset_027,9192.35,1.95
scenario3,dataset_028,6839.22,3.51
scenario3,dataset_029,9492.42,3.67
scenario3,dataset_030,7319.94,3.80
scenario3,dataset_031,8035.95,4.50
scenario3,dataset_032,8069.14,4.38
scenario3,dataset_033,7599.13,4.53
scenario3,dataset_034,7348.17,4.77
scenario3,dataset_035,8371.44,4.27
scenario3,dataset_036,6821.75,4.05
scenario3,dataset_037,9586.65,4.11
scenario3,dataset_038,9717.94,5.54
scenario3,dataset_039,7817.16,3.74
scenario3,dataset_040,7608.69,6.87
scenario3,dataset_041,9748.48,5.80
scenario3,dataset_042,7243.94,4.55
scenario3,dataset_043,8209.11,2.40
scenario3,dataset_044,8688.72,1.97
scenario3,dataset_045,7735.59,1.90
scenario3,dataset_046,7225.91,1.87
scenario3,dataset_047,7466.07,1.56
scenario3,dataset_048,8467.63,1.74
scenario3,dataset_049,6724.19,1.78
scenario3,dataset_050,7736.52,1.69
scenario3,dataset_051,7411.17,1.70
scenario3,dataset_052,7328.95,1.65
scenario3,dataset_053,9368.44,1.80
scenario3,dataset_054,7924.47,1.86
scenario3,dataset_055,10199.26,2.01
scenario3,dataset_056,7731.83,1.97
scenario3,dataset_057,9449.69,8.03
scenario3,dataset_058,10252.30,4.72
scenario3,dataset_059,9992.51,5.11
scenario3,dataset_060,9639.27,4.65
scenario3,dataset_061,7486.59,3.73
scenario3,dataset_062,7955.08,3.40
scenario3,dataset_063,7380.84,3.63
scenario3,dataset_064,6635.76,3.36
scenario3,dataset_065,7561.96,3.28
scenario3,dataset_066,8029.56,3.70
scenario3,dataset_067,6941.49,3.59
scenario3,dataset_068,6969.48,4.29
scenario3,dataset_069,8019.63,3.35
scenario3,dataset_070,7895.94,3.13
scenario3,dataset_071,7001.64,2.41
scenario3,dataset_072,8280.75,2.42
scenario3,dataset_073,9825.38,3.09
scenario3,dataset_074,8067.11,3.96
scenario3,dataset_075,7124.88,4.01
scenario3,dataset_076,9709.07,4.61
scenario3,dataset_077,7521.80,4.33
scenario3,dataset_078,8099.35,4.59
scenario3,dataset_079,8972.88,3.66
scenario3,dataset_080,6754.69,3.40
scenario3,dataset_081,7108.11,3.55
scenario3,dataset_082,7834.39,3.67
scenario3,dataset_083,8792.16,3.86
scenario3,dataset_084,7284.02,4.06
scenario3,dataset_085,8178.64,4.36
scenario3,dataset_086,8022.37,4.06
scenario3,dataset_087,9530.89,6.98
scenario3,dataset_088,7656.82,5.41
scenario3,dataset_089,7236.96,5.53
scenario3,dataset_090,9016.43,4.52
scenario3,dataset_091,7952.83,4.38
scenario3,dataset_092,7619.05,5.41
scenario3,dataset_093,8236.66,5.41
scenario3,dataset_094,8768.65,4.40
scenario3,dataset_095,7702.18,3.56
scenario3,dataset_096,8918.49,2.43
scenario3,dataset_097,8618.43,2.28
scenario3,dataset_098,8102.72,1.81
scenario3,dataset_099,10620.85,1.50
scenario3,dataset_100,8189.29,1.40
