scenario,dataset,total_distance_sum,total_time_ms_sum
scenario3,dataset_001,6777.30,0.99
scenario3,dataset_002,7272.54,0.93
scenario3,dataset_003,10515.56,0.94
scenario3,dataset_004,7492.36,0.94
scenario3,dataset_005,8075.76,0.98
scenario3,dataset_006,8596.07,0.99
scenario3,dataset_007,7109.19,0.98
scenario3,dataset_008,7395.81,0.99
scenario3,dataset_009,8293.84,0.92
scenario3,dataset_010,8569.98,0.94
scenario3,dataset_011,10323.04,0.87
scenario3,dataset_012,7238.13,0.85
scenario3,dataset_013,9166.81,0.88
scenario3,dataset_014,7483.96,0.88
scenario3,dataset_015,8911.86,0.88
scenario3,dataset_016,9411.53,0.91
scenario3,dataset_017,9096.31,1.57
scenario3,dataset_018,8558.22,2.70
scenario3,dataset_019,9879.74,2.97
scenario3,dataset_020,7361.69,2.98
scenario3,dataset_021,8840.28,3.11
scenario3,dataset_022,8077.24,3.42
scenario3,dataset_023,7806.04,6.22
scenario3,dataset_024,8326.70,2.81
scenario3,dataset_025,7488.87,3.60
scenario3,dataset_026,8680.51,3.08
scenario3,dataset_027,9597.96,2.60
scenario3,dataset_028,7108.05,3.01
scenario3,dataset_029,9854.25,3.79
scenario3,dataset_030,7599.09,3.37
scenario3,dataset_031,8492.76,2.85
scenario3,dataset_032,8410.28,3.19
scenario3,dataset_033,8140.30,3.17
scenario3,dataset_034,7559.89,3.19
scenario3,dataset_035,8590.59,3.57
scenario3,dataset_036,7127.20,3.16
scenario3,dataset_037,10214.11,3.86
scenario3,dataset_038,10115.73,3.58
scenario3,dataset_039,8161.91,2.80
scenario3,dataset_040,8021.87,3.05
scenario3,dataset_041,10154.52,3.77
scenario3,dataset_042,7696.77,3.26
scenario3,dataset_043,8690.64,3.81
scenario3,dataset_044,9043.89,3.10
scenario3,dataset_045,7969.60,2.88
scenario3,dataset_046,7548.92,3.05
scenario3,dataset_047,7758.81,3.30
scenario3,dataset_048,8883.57,3.24
scenario3,dataset_049,6834.48,3.41
scenario3,dataset_050,8150.50,3.77
scenario3,dataset_051,7779.50,3.85
scenario3,dataset_052,7553.35,3.86
scenario3,dataset_053,9696.71,3.78
scenario3,dataset_054,8408.53,4.11
scenario3,dataset_055,10807.67,3.85
scenario3,dataset_056,8210.43,4.94
scenario3,dataset_057,9928.19,4.89
scenario3,dataset_058,10925.65,3.93
scenario3,dataset_059,10718.60,3.63
scenario3,dataset_060,10542.67,4.19
scenario3,dataset_061,7697.91,4.93
scenario3,dataset_062,8576.91,4.88
scenario3,dataset_063,7631.71,3.78
scenario3,dataset_064,6949.71,3.70
scenario3,dataset_065,7930.53,4.79
scenario3,dataset_066,8617.94,5.74
scenario3,dataset_067,7204.02,2.93
scenario3,dataset_068,7214.07,3.10
scenario3,dataset_069,8421.70,3.14
scenario3,dataset_070,8295.84,3.32
scenario3,dataset_071,7266.33,3.64
scenario3,dataset_072,8552.80,3.34
scenario3,dataset_073,10348.09,3.30
scenario3,dataset_074,8452.61,3.21
scenario3,dataset_075,7342.03,3.05
scenario3,dataset_076,9992.52,3.24
scenario3,dataset_077,7863.07,3.22
scenario3,dataset_078,8634.23,3.14
scenario3,dataset_079,9259.12,3.15
scenario3,dataset_080,7101.83,3.75
scenario3,dataset_081,7401.97,3.29
scenario3,dataset_082,8149.87,2.76
scenario3,dataset_083,9223.09,3.71
scenario3,dataset_084,7542.00,4.23
scenario3,dataset_085,8432.46,3.83
scenario3,dataset_086,8211.65,3.22
scenario3,dataset_087,10071.30,3.77
scenario3,dataset_088,8128.81,3.25
scenario3,dataset_089,7480.87,3.26
scenario3,dataset_090,9544.54,3.19
scenario3,dataset_091,8375.64,2.67
scenario3,dataset_092,7921.07,1.07
scenario3,dataset_093,8582.79,1.48
scenario3,dataset_094,9269.28,1.12
scenario3,dataset_095,7922.28,1.22
scenario3,dataset_096,9617.74,1.17
scenario3,dataset_097,8948.35,1.11
scenario3,dataset_098,8505.16,1.20
scenario3,dataset_099,11007.69,1.32
scenario3,dataset_100,8458.70,0.99
