scenario,dataset,total_distance_sum,total_time_ms_sum
scenario3,dataset_001,4274.15,5.90
scenario3,dataset_002,4653.98,5.77
scenario3,dataset_003,6213.13,5.75
scenario3,dataset_004,4755.95,5.56
scenario3,dataset_005,5016.52,16.29
scenario3,dataset_006,5367.07,15.03
scenario3,dataset_007,4517.32,10.54
scenario3,dataset_008,4686.02,11.06
scenario3,dataset_009,5051.33,9.74
scenario3,dataset_010,5122.27,8.20
scenario3,dataset_011,6014.14,8.61
scenario3,dataset_012,4573.54,6.89
scenario3,dataset_013,5652.37,8.31
scenario3,dataset_014,4706.86,7.44
scenario3,dataset_015,5450.51,9.08
scenario3,dataset_016,5826.26,8.41
scenario3,dataset_017,5510.44,7.29
scenario3,dataset_018,5080.53,6.57
scenario3,dataset_019,5864.20,7.05
scenario3,dataset_020,4555.82,5.45
scenario3,dataset_021,5486.21,5.55
scenario3,dataset_022,5017.43,5.36
scenario3,dataset_023,4854.46,5.11
scenario3,dataset_024,5060.61,4.88
scenario3,dataset_025,4661.93,4.74
scenario3,dataset_026,5337.80,5.74
scenario3,dataset_027,5704.05,5.63
scenario3,dataset_028,4442.06,4.72
scenario3,dataset_029,5851.47,6.00
scenario3,dataset_030,4763.46,5.48
scenario3,dataset_031,5065.35,6.21
scenario3,dataset_032,5112.00,4.80
scenario3,dataset_033,4987.87,5.33
scenario3,dataset_034,4733.83,4.68
scenario3,dataset_035,5213.55,5.03
scenario3,dataset_036,4499.88,4.34
scenario3,dataset_037,5988.86,5.31
scenario3,dataset_038,5963.29,5.29
scenario3,dataset_039,5012.12,4.49
scenario3,dataset_040,4978.05,4.29
scenario3,dataset_041,6026.30,4.82
scenario3,dataset_042,4834.89,4.83
scenario3,dataset_043,5270.24,4.83
scenario3,dataset_044,5437.56,4.98
scenario3,dataset_045,4979.77,5.78
scenario3,dataset_046,4669.43,5.10
scenario3,dataset_047,4852.01,5.19
scenario3,dataset_048,5392.11,5.63
scenario3,dataset_049,4336.58,4.89
scenario3,dataset_050,4933.49,5.96
scenario3,dataset_051,4847.55,5.64
scenario3,dataset_052,4741.96,5.42
scenario3,dataset_053,5897.61,6.36
scenario3,dataset_054,5020.23,5.13
scenario3,dataset_055,6403.62,6.05
scenario3,dataset_056,5115.44,5.24
scenario3,dataset_057,5953.77,6.16
scenario3,dataset_058,6356.35,6.63
scenario3,dataset_059,6351.82,5.78
scenario3,dataset_060,6206.88,6.35
scenario3,dataset_061,4885.41,4.69
scenario3,dataset_062,5135.16,6.06
scenario3,dataset_063,4669.63,4.68
scenario3,dataset_064,4327.24,4.19
scenario3,dataset_065,4817.26,5.33
scenario3,dataset_066,5212.32,4.86
scenario3,dataset_067,4523.10,4.53
scenario3,dataset_068,4540.96,4.56
scenario3,dataset_069,5251.92,5.80
scenario3,dataset_070,5070.68,5.63
scenario3,dataset_071,4628.50,5.26
scenario3,dataset_072,5345.17,5.63
scenario3,dataset_073,6111.17,6.99
scenario3,dataset_074,5245.00,5.64
scenario3,dataset_075,4617.76,4.82
scenario3,dataset_076,5927.13,5.48
scenario3,dataset_077,4811.19,4.27
scenario3,dataset_078,5325.53,4.53
scenario3,dataset_079,5624.93,5.07
scenario3,dataset_080,4556.11,5.12
scenario3,dataset_081,4595.11,4.67
scenario3,dataset_082,4973.99,4.81
scenario3,dataset_083,5615.16,6.10
scenario3,dataset_084,4767.77,4.94
scenario3,dataset_085,5227.66,6.12
scenario3,dataset_086,4975.67,5.10
scenario3,dataset_087,5940.28,6.58
scenario3,dataset_088,4932.29,4.81
scenario3,dataset_089,4770.52,4.65
scenario3,dataset_090,5568.41,5.03
scenario3,dataset_091,5121.53,5.70
scenario3,dataset_092,4899.59,5.33
scenario3,dataset_093,5147.94,5.81
scenario3,dataset_094,5475.24,6.02
scenario3,dataset_095,4936.50,5.31
scenario3,dataset_096,5676.99,5.29
scenario3,dataset_097,5391.68,4.91
scenario3,dataset_098,5186.01,4.51
scenario3,dataset_099,6502.87,5.14
scenario3,dataset_100,5085.39,5.09
